	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
939	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Information	2001	25467.0
940	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Real estate and rental and leasing	2001	323193.0
941	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Professional and business services	2001	360197.0
942	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Management of companies and enterprises	2001	192083.0
943	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2001	72267.0
944	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Educational services	2001	8277.0
945	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Health care and social assistance	2001	261870.0
946	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Arts, entertainment, and recreation	2001	144922.0
947	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Accommodation and food services	2001	80378.0
948	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Other services (except government and government enterprises)	2001	100953.0
949	37097	FIPS_37097	Iredell County	Southwest	Centralina	Government and government enterprises	2001	354749.0
950	37099	FIPS_37099	Jackson County	Western	Southwestern	  Agriculture, forestry, fishing and hunting	2001	12590.0
951	37099	FIPS_37099	Jackson County	Western	Southwestern	  Mining, quarrying, and oil and gas extraction	2001	0.0
952	37099	FIPS_37099	Jackson County	Western	Southwestern	  Utilities	2001	
953	37099	FIPS_37099	Jackson County	Western	Southwestern	  Construction	2001	60680.0
954	37099	FIPS_37099	Jackson County	Western	Southwestern	  Manufacturing	2001	33261.0
955	37099	FIPS_37099	Jackson County	Western	Southwestern	  Wholesale trade	2001	
956	37099	FIPS_37099	Jackson County	Western	Southwestern	  Retail trade	2001	55165.0
957	37099	FIPS_37099	Jackson County	Western	Southwestern	  Transportation and warehousing	2001	14729.0
958	37099	FIPS_37099	Jackson County	Western	Southwestern	  Information	2001	8823.0
959	37099	FIPS_37099	Jackson County	Western	Southwestern	   Real estate and rental and leasing	2001	107121.0
960	37099	FIPS_37099	Jackson County	Western	Southwestern	  Professional and business services	2001	55819.0
961	37099	FIPS_37099	Jackson County	Western	Southwestern	   Management of companies and enterprises	2001	
962	37099	FIPS_37099	Jackson County	Western	Southwestern	   Administrative and support and waste management and remediation services	2001	21176.0
963	37099	FIPS_37099	Jackson County	Western	Southwestern	   Educational services	2001	2139.0
964	37099	FIPS_37099	Jackson County	Western	Southwestern	   Health care and social assistance	2001	75272.0
965	37099	FIPS_37099	Jackson County	Western	Southwestern	   Arts, entertainment, and recreation	2001	10691.0
966	37099	FIPS_37099	Jackson County	Western	Southwestern	   Accommodation and food services	2001	41906.0
967	37099	FIPS_37099	Jackson County	Western	Southwestern	  Other services (except government and government enterprises)	2001	22714.0
968	37099	FIPS_37099	Jackson County	Western	Southwestern	Government and government enterprises	2001	225140.0
969	37101	FIPS_37101	Johnston County	North Central		  Agriculture, forestry, fishing and hunting	2001	119830.0
970	37101	FIPS_37101	Johnston County	North Central		  Mining, quarrying, and oil and gas extraction	2001	4476.0
971	37101	FIPS_37101	Johnston County	North Central		  Utilities	2001	4010.0
