Series ID	Region Name	Region Code	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
NCHERT1POP	Hertford County, NC	37091	24.439	23.2	23.2	23.4	22.8	23.1	23.0	23.1	23.2	23.4	23.368	23.3	23.27	23.422	23.329	23.375	23.386	23.046	22.802	22.581	22.355	22.393	22.457	22.69	22.637	22.693	22.651	22.673	22.578	22.579	22.574	22.633	23.145	22.882	22.845	22.782	22.711	22.765	22.835	22.851	24.763	24.712	24.6	24.577	24.582	24.38	24.216	23.926	23.659
NCHOKE3POP	Hoke County, NC	37093	16.436	17.0	17.5	17.5	17.7	19.1	18.8	19.2	18.8	19.6	20.383	20.789	21.077	21.186	21.443	21.612	22.046	22.583	22.519	22.775	22.95	23.293	24.235	25.44	27.429	28.452	29.424	30.314	31.58	32.833	33.924	34.681	35.72	36.423	37.916	39.508	40.973	42.029	43.407	44.766	47.496	49.463	50.478	51.156	51.588	52.728	52.973	54.141	54.764
NCHYDE5POP	Hyde County, NC	37095	5.571	5.7	5.6	5.6	5.5	5.7	5.9	6.0	5.9	6.0	5.873	5.922	5.879	5.865	5.861	5.834	5.756	5.625	5.503	5.49	5.406	5.38	5.425	5.381	5.346	5.365	5.409	5.484	5.915	5.914	5.813	5.649	5.693	5.535	5.433	5.391	5.225	5.189	5.263	5.22	5.811	5.796	5.687	5.652	5.598	5.428	5.44	5.267	5.23
NCIRED5POP	Iredell County, NC	37097	72.197	73.9	76.1	76.9	78.0	78.4	77.9	79.0	80.4	81.8	82.538	83.819	84.487	84.787	86.309	87.1	87.931	89.348	90.862	91.787	93.711	95.901	97.517	99.474	101.802	104.653	107.743	111.061	115.686	120.031	123.583	127.108	130.285	132.962	136.265	140.143	146.365	151.472	155.725	157.931	159.768	161.018	162.664	164.582	166.514	169.497	172.552	175.628	178.435
NCJACK9POP	Jackson County, NC	37099	21.593	22.4	23.3	23.9	24.4	24.3	24.6	25.0	24.6	25.1	25.811	26.239	26.4	26.558	26.742	26.702	26.273	26.512	26.606	26.794	26.926	27.464	28.026	28.407	29.373	30.148	30.797	31.301	31.851	32.42	33.236	33.58	34.031	34.877	35.428	35.662	36.409	36.441	36.756	37.304	40.357	40.223	40.617	40.984	40.907	41.281	42.573	43.192	43.327
NCJOHN0POP	Johnston County, NC	37101	61.737	62.8	64.2	64.4	65.3	66.8	67.6	68.2	69.4	70.2	70.599	71.441	72.058	72.559	74.092	75.858	77.029	77.911	78.926	80.004	81.925	84.521	87.353	90.285	93.384	97.914	102.352	106.905	112.394	117.765	123.327	127.673	132.444	136.105	140.648	145.137	150.604	156.877	163.232	168.256	169.681	172.44	174.4	177.256	180.758	185.135	190.868	196.423	202.675
NCJONE3POP	Jones County, NC	37103	9.779	9.9	10.0	9.8	9.6	9.8	9.8	9.7	9.8	9.6	9.705	9.688	9.712	9.76	9.338	9.384	9.384	9.32	9.349	9.376	9.392	9.479	9.623	9.902	10.059	10.104	10.065	10.193	10.224	10.35	10.27	10.182	10.066	9.898	10.045	9.958	9.884	9.918	9.846	10.004	10.143	10.059	10.069	10.005	9.851	9.785	9.602	9.602	9.637
NCLEEC5POP	Lee County, NC	37105	30.467	31.2	32.2	32.7	33.2	33.6	33.9	34.8	35.6	35.8	36.718	36.999	37.405	37.862	38.627	39.719	40.133	39.97	40.446	40.882	41.548	42.065	42.823	43.806	44.595	45.698	46.711	47.611	48.559	48.766	49.423	51.196	51.723	52.886	54.417	55.434	56.696	57.834	59.19	60.359	57.886	58.539	59.259	59.785	59.43	59.44	59.737	60.567	61.452
NCLENO0POP	Lenoir County, NC	37107	55.204	56.6	57.7	58.1	58.5	58.5	59.2	59.4	59.2	59.3	59.819	59.787	59.428	59.537	59.368	58.856	58.212	58.124	57.602	57.303	57.376	57.718	58.164	58.716	59.084	59.666	59.786	59.846	59.838	59.863	59.512	59.053	58.617	58.153	57.738	57.513	57.181	56.783	56.82	56.557	59.492	59.409	59.115	58.737	58.261	57.994	57.263	56.641	55.976
NCLINC9POP	Lincoln County, NC	37109	32.682	33.9	35.3	36.7	37.3	37.9	38.3	39.0	40.2	41.1	42.372	42.894	43.361	43.629	44.533	45.601	46.06	47.106	48.521	49.189	50.79	51.947	53.504	55.356	56.921	57.757	58.909	60.343	61.674	62.955	64.133	65.182	66.076	66.95	67.584	69.014	71.079	72.877	74.715	75.973	78.104	78.259	78.693	79.081	79.418	80.535	81.118	82.365	83.77
NCMACO3POP	Macon County, NC	37113	15.788	16.4	17.0	17.2	17.6	18.1	18.3	19.0	19.5	20.2	20.178	21.117	21.677	22.049	22.529	22.756	22.642	22.721	22.853	23.218	23.623	23.986	24.441	24.985	25.459	26.307	27.208	27.963	28.554	29.252	29.961	30.361	30.751	31.057	31.398	31.71	32.313	32.701	33.097	33.257	33.958	33.884	33.803	33.735	33.823	34.078	34.241	34.624	35.285
NCMADI5POP	Madison County, NC	37115	16.003	16.1	15.9	16.0	16.2	16.5	16.5	16.5	16.6	16.5	16.827	17.113	16.919	16.81	17.018	17.037	17.12	17.051	16.924	16.879	17.027	17.218	17.424	17.476	17.835	18.199	18.604	18.807	19.222	19.392	19.661	19.799	19.814	19.762	19.841	19.921	20.056	20.189	20.322	20.417	20.779	20.844	20.884	21.149	21.189	21.138	21.359	21.577	21.763
NCMART7POP	Martin County, NC	37117	24.73	24.6	24.7	24.9	25.0	25.3	25.5	25.8	25.9	25.9	25.948	26.187	26.089	26.088	26.09	25.858	25.694	25.693	25.542	25.302	25.049	25.143	25.126	25.567	26.073	26.017	25.988	25.981	25.752	25.623	25.494	25.12	24.881	24.678	24.402	24.026	23.969	23.598	23.488	23.368	24.501	24.179	23.841	23.637	23.437	23.262	23.122	22.776	22.671
NCMCDO1POP	McDowell County, NC	37111	30.648	30.9	31.5	32.2	32.5	33.2	33.4	33.5	33.9	34.2	35.135	35.675	35.838	35.745	35.899	35.824	35.612	35.618	35.553	35.661	35.77	36.188	36.473	36.982	37.62	38.171	39.384	40.48	41.229	41.874	42.251	42.688	42.712	42.909	42.972	43.136	43.372	43.656	44.032	44.037	45.098	45.051	45.003	45.031	45.018	44.976	44.882	45.164	45.507
NCMECK9POP	Mecklenburg County, NC	37119	354.656	360.1	368.0	374.0	377.1	377.4	380.3	383.8	388.7	395.7	404.27	413.915	422.435	428.247	438.304	448.881	459.459	473.76	486.215	499.677	515.605	530.897	542.185	558.031	576.276	596.036	617.328	639.479	660.552	682.071	700.802	720.936	737.544	755.396	774.441	800.363	833.428	865.075	891.819	913.311	923.258	943.75	967.083	990.785	1010.412	1033.282	1056.665	1077.311	1093.901
NCMITC1POP	Mitchell County, NC	37121	13.447	13.8	13.8	13.9	13.9	14.1	14.3	14.4	14.6	14.4	14.428	14.383	14.316	14.185	14.302	14.395	14.315	14.309	14.431	14.392	14.469	14.564	14.671	14.802	14.865	15.075	15.175	15.235	15.367	15.498	15.688	15.815	15.81	15.781	15.862	15.781	15.613	15.663	15.659	15.589	15.507	15.347	15.321	15.275	15.166	15.063	14.991	14.979	15.0
