,	GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
74,"84	"" """"37000""""""	North Carolina	5.0	CAINC6N	1004.0	524	    Insurance carriers and related activities	Thousands of dollars	2702560	2781794	2897852	3046847	3198020	3514930	3661668	3828001	3722273	3888393	4011562	4137039	4257620	4898008	5318944	5653987	6255904"
75,"86	"" """"37000""""""	North Carolina	5.0	CAINC6N	1100.0	53	   Real estate and rental and leasing	Thousands of dollars	1631090	1735262	1745184	1906287	2079553	2296490	2435934	2381572	2232050	2207646	2236869	2466365	2600751	2824661	3104219	3266300	3432744"
76,"87	"" """"37000""""""	North Carolina	5.0	CAINC6N	1101.0	531	    Real estate	Thousands of dollars	1119336	1215418	1234807	1381529	1513410	1680184	1809737	1786525	1672807	1647473	1668998	1852321	1959663	2147033	2342784	2489507	2635821"
77,"88	"" """"37000""""""	North Carolina	5.0	CAINC6N	1102.0	532	    Rental and leasing services	Thousands of dollars	501546	507195	496917	506631	548265	595858	607629	575922	538144	542488	548479	587092	607118	637546	721023	736305	757796"
78,"89	"" """"37000""""""	North Carolina	5.0	CAINC6N	1103.0	533	    Lessors of nonfinancial intangible assets (except copyrighted works)	Thousands of dollars	10208	12649	13460	18127	17878	20448	18568	19125	21099	17685	19392	26952	33970	40082	40412	40488	39127"
79,"91	"" """"37000""""""	North Carolina	5.0	CAINC6N	1300.0	55	   Management of companies and enterprises	Thousands of dollars	4915747	5339435	5525858	6082355	6520801	7006884	7377038	7908882	7296174	7723041	8363448	9108456	9031959	9807161	10408862	10454644	10749588"
80,"92	"" """"37000""""""	North Carolina	5.0	CAINC6N	1400.0	56	   Administrative and support and waste management and remediation services	Thousands of dollars	5265782	5544020	5805918	6255576	6782867	7469222	8088686	8408327	7821087	8576004	9321271	10260824	10517238	11462499	11802488	12269703	13017241"
81,"93	"" """"37000""""""	North Carolina	5.0	CAINC6N	1401.0	561	    Administrative and support services	Thousands of dollars	5030501	5294333	5547218	5985921	6480569	7145502	7747539	8013507	7450932	8187599	8910462	9812612	10042335	10946491	11271089	11736443	12368028"
82,"94	"" """"37000""""""	North Carolina	5.0	CAINC6N	1402.0	562	    Waste management and remediation services	Thousands of dollars	235281	249687	258700	269655	302298	323720	341147	394820	370155	388405	410809	448212	474903	516008	531399	533260	649213"
83,"95	"" """"37000""""""	North Carolina	5.0	CAINC6N	1500.0	61	   Educational services	Thousands of dollars	1754856	1983062	2113493	2482970	2670369	3019964	3316311	3597074	4008176	4152526	4374138	4617694	4202585	4540724	5417043	5558533	5352876"
84,"96	"" """"37000""""""	North Carolina	5.0	CAINC6N	1600.0	62	   Health care and social assistance	Thousands of dollars	13216441	14146916	15161096	16357096	17391591	19072041	20387914	21553954	22401608	22891584	22991244	24065394	24812996	25721182	26573864	27573670	29124388"
85,"97	"" """"37000""""""	North Carolina	5.0	CAINC6N	1601.0	621	    Ambulatory health care services	Thousands of dollars	6535163	6946895	7413945	8157754	8710279	9402283	9995314	10475831	10957786	11213105	11330635	11917981	12430241	12947056	13492383	14047617	14676227"
86,"98	"" """"37000""""""	North Carolina	5.0	CAINC6N	1602.0	622	    Hospitals	Thousands of dollars	3744535	3977299	4261780	4428581	4633621	5345893	5629234	6081954	6291705	6491054	6559526	6945946	7052252	7232876	7455771	7738597	8501648"
