,County	Collections
571,Granville	1276884.0
572,Granville	1423443.0
573,Granville	1680417.0
574,Granville	1568817.0
575,Granville	1538737.0
576,Granville	1736017.0
577,Granville	1538027.0
578,Granville	1375376.0
579,Granville	1435070.0
580,Granville	1595370.0
581,Granville	1540762.0
582,Granville	1511359.0
583,Granville	1570004.0
584,Granville	1601682.0
585,Greene	326860.0
586,Greene	349468.0
587,Greene	384654.0
588,Greene	298351.0
589,Greene	332405.0
590,Greene	290721.0
591,Greene	300459.0
592,Greene	315785.0
593,Greene	265851.0
594,Greene	374048.0
595,Greene	278178.0
596,Greene	296020.0
597,Greene	306308.0
598,Greene	284942.0
599,Greene	295271.0
600,Guilford	35594178.0
601,Guilford	30568244.0
602,Guilford	34408199.0
603,Guilford	33598472.0
604,Guilford	32644542.0
605,Guilford	32887419.0
606,Guilford	32247133.0
607,Guilford	28071151.0
608,Guilford	32345791.0
609,Guilford	29192142.0
610,Guilford	31673609.0
611,Guilford	31543165.0
612,Guilford	32844681.0
613,Guilford	32331412.0
614,Guilford	32884405.0
615,Halifax	2688601.0
616,Halifax	2219825.0
617,Halifax	2259370.0
618,Halifax	2162871.0
619,Halifax	2110764.0
620,Halifax	3156897.0
621,Halifax	2596253.0
622,Halifax	2234415.0
623,Halifax	2072710.0
624,Halifax	2225214.0
625,Halifax	2106705.0
626,Halifax	1831305.0
627,Halifax	1993836.0
628,Halifax	2155342.0
629,Halifax	2139083.0
630,Harnett	3787707.0
631,Harnett	3996041.0
632,Harnett	3933355.0
633,Harnett	3340935.0
634,Harnett	4084592.0
635,Harnett	4226408.0
636,Harnett	4095193.0
637,Harnett	3604999.0
638,Harnett	4165781.0
639,Harnett	4115953.0
640,Harnett	3869286.0
641,Harnett	3972695.0
642,Harnett	4006134.0
643,Harnett	4146230.0
644,Harnett	3568208.0
645,Haywood	3399857.0
646,Haywood	3183345.0
647,Haywood	3521418.0
648,Haywood	3245990.0
649,Haywood	3357707.0
650,Haywood	2988926.0
651,Haywood	3468769.0
652,Haywood	3626830.0
653,Haywood	3309034.0
654,Haywood	2503674.0
655,Haywood	3541770.0
656,Haywood	3186695.0
657,Haywood	2634032.0
658,Haywood	3228036.0
659,Haywood	3115780.0
660,Henderson	5999444.0
661,Henderson	5704877.0
662,Henderson	5476313.0
663,Henderson	4569120.0
664,Henderson	5861858.0
665,Henderson	4371923.0
666,Henderson	5599156.0
667,Henderson	5772328.0
668,Henderson	4637574.0
669,Henderson	5483819.0
670,Henderson	5905513.0
671,Henderson	5729582.0
672,Henderson	5630184.0
673,Henderson	5880418.0
674,Henderson	5501280.0
675,Hertford	968001.0
676,Hertford	920715.0
677,Hertford	842108.0
678,Hertford	876488.0
679,Hertford	839232.0
680,Hertford	826310.0
681,Hertford	914425.0
682,Hertford	941851.0
683,Hertford	907898.0
684,Hertford	962983.0
685,Hertford	972060.0
686,Hertford	972609.0
687,Hertford	999181.0
688,Hertford	925673.0
689,Hertford	968981.0
690,Hoke	929982.0
691,Hoke	897497.0
692,Hoke	897798.0
693,Hoke	830599.0
694,Hoke	806279.0
695,Hoke	906601.0
696,Hoke	970274.0
697,Hoke	861820.0
698,Hoke	876765.0
699,Hoke	897965.0
700,Hoke	808179.0
701,Hoke	873957.0
702,Hoke	904662.0
703,Hoke	862130.0
704,Hoke	998243.0
705,Hyde	578464.0
706,Hyde	95826.0
707,Hyde	212883.0
708,Hyde	275260.0
709,Hyde	455711.0
710,Hyde	145139.0
711,Hyde	107860.0
712,Hyde	155305.0
713,Hyde	148174.0
714,Hyde	164298.0
715,Hyde	413535.0
716,Hyde	246252.0
717,Hyde	232238.0
718,Hyde	154338.0
719,Hyde	320099.0
720,Iredell	11367281.0
721,Iredell	9933889.0
722,Iredell	11378535.0
