County	Sales
Hyde	3245076.0
Hyde	6670782.0
Iredell	239196719.0
Iredell	208639228.0
Iredell	239728766.0
Iredell	205106723.0
Iredell	205835895.0
Iredell	224448414.0
Iredell	217625792.0
Iredell	226259672.0
Iredell	222442245.0
Iredell	226039228.0
Iredell	225546305.0
Iredell	231989355.0
Iredell	189742842.0
Iredell	192978608.0
Iredell	225396651.0
Jackson	57782288.0
Jackson	51972542.0
Jackson	55133015.0
Jackson	51805342.0
Jackson	59508987.0
Jackson	58006492.0
Jackson	57914933.0
Jackson	46949835.0
Jackson	51116191.0
Jackson	47659956.0
Jackson	50770279.0
Jackson	46715211.0
Jackson	37405289.0
Jackson	47284624.0
Jackson	38484226.0
Johnston	177513599.0
Johnston	183205713.0
Johnston	149725254.0
Johnston	177080707.0
Johnston	163479680.0
Johnston	173767478.0
Johnston	177162926.0
Johnston	172711741.0
Johnston	155139395.0
Johnston	186503010.0
Johnston	172463476.0
Johnston	168787897.0
Johnston	170951943.0
Johnston	171044509.0
Johnston	206819957.0
Jones	5162236.0
Jones	4170245.0
Jones	4770239.0
Jones	2702625.0
Jones	5104671.0
Jones	4165121.0
Jones	4971987.0
Jones	3648123.0
Jones	4154930.0
Jones	4854805.0
Jones	4468663.0
Jones	4625686.0
Jones	5946636.0
Jones	6839735.0
Jones	4215095.0
Lee	73183959.0
Lee	62743106.0
Lee	76254620.0
Lee	81111016.0
Lee	60408861.0
Lee	63411375.0
Lee	74780643.0
Lee	68643129.0
Lee	74127656.0
Lee	70962096.0
Lee	78239935.0
Lee	68920040.0
Lee	70854115.0
Lee	79751084.0
Lee	68699640.0
Lenoir	43586852.0
Lenoir	52051042.0
Lenoir	51704714.0
Lenoir	47725897.0
Lenoir	55488041.0
Lenoir	53114608.0
Lenoir	51769326.0
Lenoir	50073780.0
Lenoir	44287125.0
Lenoir	56608787.0
Lenoir	52178783.0
Lenoir	49013400.0
Lenoir	48690338.0
Lenoir	50878163.0
Lenoir	51152263.0
Lincoln	83673109.0
Lincoln	68858755.0
Lincoln	83786887.0
Lincoln	83309680.0
Lincoln	87017420.0
Lincoln	81306339.0
Lincoln	81871226.0
Lincoln	87432764.0
Lincoln	75293468.0
Lincoln	87492258.0
Lincoln	89026980.0
Lincoln	79757906.0
Lincoln	80760507.0
Lincoln	65654883.0
Lincoln	68525966.0
Macon	34341544.0
Macon	55577771.0
Macon	50526629.0
Macon	44010877.0
Macon	54430493.0
Macon	57908400.0
Macon	47640193.0
Macon	2403686.0
Macon	43299301.0
Macon	55114496.0
Macon	48051324.0
Macon	53823308.0
Macon	33200252.0
Macon	2152599.0
Macon	50212099.0
Madison	8047035.0
Madison	10487157.0
Madison	9828294.0
Madison	11575101.0
Madison	10885364.0
Madison	11292091.0
Madison	11108923.0
Madison	11279156.0
Madison	9838423.0
Madison	14186880.0
Madison	494677.0
Madison	9382500.0
Madison	450440.0
Madison	10476774.0
Madison	10507000.0
Martin	17537086.0
Martin	17067236.0
Martin	17958772.0
Martin	16978292.0
Martin	16011517.0
Martin	18238823.0
Martin	17697294.0
Martin	843863.0
Martin	19402067.0
Martin	17662261.0
Martin	19806812.0
Martin	895912.0
Martin	15595706.0
Martin	17236292.0
Martin	18130051.0
McDowell	35803723.0
McDowell	32223906.0
McDowell	36008814.0
McDowell	28471710.0
McDowell	36773483.0
McDowell	33021716.0
McDowell	34585265.0
McDowell	35298949.0
McDowell	34476948.0
McDowell	29443604.0
McDowell	34245027.0
McDowell	1533798.0
McDowell	1478314.0
McDowell	36615762.0
McDowell	37663849.0
Mecklenburg	2050745408.0
Mecklenburg	1784589156.0
Mecklenburg	2231825165.0
Mecklenburg	2042778404.0
Mecklenburg	2016772646.0
Mecklenburg	2039982729.0
Mecklenburg	2057750084.0
Mecklenburg	2062309781.0
Mecklenburg	1912064094.0
Mecklenburg	1759968041.0
Mecklenburg	2126473455.0
Mecklenburg	2057824300.0
Mecklenburg	93445565.0
Mecklenburg	2134563311.0
Mecklenburg	94633075.0
Mitchell	11273326.0
Mitchell	634661.0
Mitchell	13305230.0
Mitchell	12302071.0
Mitchell	13220147.0
Mitchell	12323174.0
Mitchell	12480185.0
Mitchell	11723594.0
Mitchell	11867701.0
Mitchell	9954939.0
Mitchell	13192610.0
Mitchell	13497233.0
Mitchell	12620281.0
Mitchell	627251.0
Mitchell	14007843.0
Montgomery	19454688.0
Montgomery	17670005.0
Montgomery	15462383.0
Montgomery	878992.0
Montgomery	18484838.0
Montgomery	15361762.0
Montgomery	19885989.0
Montgomery	20276139.0
Montgomery	17825835.0
Montgomery	20273012.0
Montgomery	837058.0
Montgomery	16716909.0
Montgomery	18568920.0
Montgomery	19125190.0
Montgomery	18087238.0
Moore	105356097.0
Moore	131823335.0
Moore	123648682.0
Moore	132763194.0
Moore	127204447.0
Moore	5363535.0
Moore	131068207.0
Moore	98752705.0
Moore	132811406.0
Moore	127566347.0
Moore	121855809.0
Moore	99438305.0
Moore	121313849.0
Moore	5660785.0
Moore	128602242.0
Nash	92172397.0
Nash	97396986.0
Nash	82786760.0
Nash	98691271.0
Nash	93036455.0
Nash	87829290.0
Nash	91442813.0
