GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37121	Mitchell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1945	2404	2639	3091	3453	3635	3848	4406	4983	5273	5009	5047	4740	6008	6099	6080	5353	5283
 37123	Montgomery, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	823	1035	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1320
 37125	Moore, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	6374	7682	10657	13660	12080	14354	19437	20876	19934	16703	14145	14798	17306	20177	21446	31481	28240	29232
 37127	Nash, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	13085	15387	16177	16491	16442	17477	18336	21625	23964	23352	21901	22879	26076	34286	36713	35878	35399	36734
 37129	New Hanover, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	19641	20826	23380	24774	25015	26648	28708	31342	36800	43907	46638	49288	44080	53269	56282	58053	56103	58148
 37131	Northampton, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1748	2006	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37133	Onslow, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	6358	9097	11343	12628	10548	12342	16613	21772	25238	27738	27012	27558	28486	33524	32824	29220	35793	38722
 37135	Orange, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	29667	25345	31005	33565	34819	36408	49365	51967	53997	65118	74449	78198	70560	72462	80158	82655	81464	85940
 37137	Pamlico, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37139	Pasquotank, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2737	3404	3662	4728	4831	6022	6737	5834	7335	7797	7783	8347	7937	9075	9543	9691	10027	8714
 37141	Pender, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	181	(D)	(D)	323	348	663	435	(D)	(D)	(D)	(D)	(D)	844	(D)	1045	975	1989	2183
 37143	Perquimans, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	42	175	181
 37145	Person, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	895	1084	1397	1654	1608	1658	1719	1786	2042	2488	2170	2490	2579	2687	2586	1987	(D)	(D)
 37147	Pitt, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	12513	16088	17525	19566	20404	20397	24477	26329	28183	28317	27127	28021	29606	34222	33971	38182	37299	36331
 37149	Polk, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	976	836	1004	(D)	(D)	(D)	1902	2644	2667	3012	3136	1713	1196	1246
 37151	Randolph, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	4049	6150	5774	6549	6707	6370	6968	7958	8636	10183	9413	10122	9917	10056	10545	11654	12558	11238
 37153	Richmond, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	824	937	1104	(D)	(D)	(D)	(D)	2435	2930	2823	3129	3850	3699	4026	3577	4361	4156	3359
 37155	Robeson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	3463	5137	4808	5807	6408	7314	10496	9818	9582	9418	8387	8319	7829	8687	8946	8337	5605	5283
 37157	Rockingham, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	3603	4201	4218	4925	5448	5981	5592	5101	4441	4901	4782	5603	6052	5888	6062	6747
 37159	Rowan, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	25690	29966	32069	34421	33270	33924	35150	37799	41279	42330	43424	47255	41316	50271	52101	54812	55750	55241
 37161	Rutherford, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2831	3851	5364	7014	6194	6752	6711	6956	6995	7974	8378	9622	9345	9259	9588	10682	9916	10740
 37163	Sampson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	2500	2799	(D)	(D)	(D)	(D)	(D)	4555	4017	4179	(D)	(D)	(D)	(D)	(D)
 37165	Scotland, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	8929	9485	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	11056	10699	13366	13895	14962	14346	(D)
 37167	Stanly, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	9624	11232	12966	13992	14766	16282	17553	18227	18323	18514	17867	15062	13729	16401	16308	17520	19188	19344
 37169	Stokes, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	2002	2049	2222	(D)	1828	1913	1951	3128	3561	2828	2468	2204
 37171	Surry, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1333	1668	1351	1519	1409	1515	1726	1754	1572	1458	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37173	Swain, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	635	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37175	Transylvania, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	9212	(D)	10565	10504	10490	11396	13564	13574	14495	14248	15374	15684	14449	18010	18929	19674	20100	20860
 37177	Tyrrell, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	68	45	44	53	35	18	25	(D)	(D)	132	187	(D)	(D)	(D)	(D)
 37179	Union, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	17891	23417	27849	25039	26809	29853	46923	46347	42912	43404	45327	50650	47703	58500	60705	66192	67997	73562
 37181	Vance, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	3192	3754	3278	4832	7175	6344	5290	5758	6111	6582	6823	7585	8384	8621	7191	7043
 37183	Wake, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	185695	210673	223282	247830	268076	298465	338062	372912	391059	411656	441190	475518	434018	500109	533259	572858	585044	620315
 37185	Warren, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1144	1203	(D)	(D)	(D)	739
 37187	Washington, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	52	85	109	69	39	41	41	33	(D)	20	49	52	910	474
 37189	Watauga, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	2900	2589	3021	3317	3362	3728	5467	5876	5612	6678	7138	7519	6544	8006	8506	8786	7229	7444
 37191	Wayne, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	13649	18010	20023	22349	23845	26889	29854	36481	41152	38693	35476	32723	28735	36243	36683	37719	37132	38131
 37193	Wilkes, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	1312	1807	1960	1900	2995	3733	5018	5715	7357	6523	6253	6447	6272	7402	7591	(D)	6596	7560
 37195	Wilson, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	13113	14580	14402	15350	16245	18020	19002	19590	22368	22139	22193	24227	22358	26764	26639	27623	26375	26988
 37197	Yadkin, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	219	192	316	286	355	(D)	(D)	(D)	(D)	831	750	873	889	1088	1254	(D)	(D)	(D)
 37199	Yancey, NC	5.0	CAINC5N	1500.0	61	   Educational services	Thousands of dollars	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	1925
