GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Construction	2001	13219
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Manufacturing	2001	964815
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Wholesale trade	2001	
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Retail trade	2001	34562
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Transportation and warehousing	2001	14731
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Information	2001	
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Real estate and rental and leasing	2001	72332
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Professional and business services	2001	32855
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Management of companies and enterprises	2001	10987
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Administrative and support and waste management and remediation services	2001	12368
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Educational services	2001	382
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Health care and social assistance	2001	23497
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Arts, entertainment, and recreation	2001	
37017	FIPS_37017	Bladen County	South Central	Lumber River	   Accommodation and food services	2001	10742
37017	FIPS_37017	Bladen County	South Central	Lumber River	  Other services (except government and government enterprises)	2001	
37017	FIPS_37017	Bladen County	South Central	Lumber River	Government and government enterprises	2001	104683
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Agriculture, forestry, fishing and hunting	2001	19735
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Mining, quarrying, and oil and gas extraction	2001	516
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Utilities	2001	525010
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Construction	2001	162600
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Manufacturing	2001	265339
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Wholesale trade	2001	
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Retail trade	2001	117035
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Transportation and warehousing	2001	48704
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Information	2001	24566
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Real estate and rental and leasing	2001	497671
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Professional and business services	2001	
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Management of companies and enterprises	2001	
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Administrative and support and waste management and remediation services	2001	
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Educational services	2001	4640
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Health care and social assistance	2001	69920
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Arts, entertainment, and recreation	2001	29532
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	   Accommodation and food services	2001	46402
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	  Other services (except government and government enterprises)	2001	43287
37019	FIPS_37019	Brunswick County	Southeast	Cape Fear	Government and government enterprises	2001	199359
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Agriculture, forestry, fishing and hunting	2001	24491
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Mining, quarrying, and oil and gas extraction	2001	12453
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Utilities	2001	104939
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Construction	2001	422459
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Manufacturing	2001	1154973
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Wholesale trade	2001	296309
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Retail trade	2001	522625
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Transportation and warehousing	2001	220344
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Information	2001	151196
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Real estate and rental and leasing	2001	669375
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Professional and business services	2001	492775
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Management of companies and enterprises	2001	57357
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Administrative and support and waste management and remediation services	2001	160377
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Educational services	2001	57956
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Health care and social assistance	2001	791394
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Arts, entertainment, and recreation	2001	58012
37021	FIPS_37021	Buncombe County	Western	Mountain Area	   Accommodation and food services	2001	293143
37021	FIPS_37021	Buncombe County	Western	Mountain Area	  Other services (except government and government enterprises)	2001	195089
37021	FIPS_37021	Buncombe County	Western	Mountain Area	Government and government enterprises	2001	826845
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Agriculture, forestry, fishing and hunting	2001	38660
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Mining, quarrying, and oil and gas extraction	2001	2663
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Utilities	2001	2932
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Construction	2001	66917
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Manufacturing	2001	799146
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Wholesale trade	2001	71874
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Retail trade	2001	119484
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Transportation and warehousing	2001	28915
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Information	2001	11180
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Real estate and rental and leasing	2001	190500
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Professional and business services	2001	94088
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Management of companies and enterprises	2001	32568
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Administrative and support and waste management and remediation services	2001	25612
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Educational services	2001	4391
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Health care and social assistance	2001	165132
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Arts, entertainment, and recreation	2001	3620
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	   Accommodation and food services	2001	40341
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	  Other services (except government and government enterprises)	2001	54554
37023	FIPS_37023	Burke County	Northwest	Western Piedmont	Government and government enterprises	2001	385220
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	21246
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	10664
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Utilities	2001	15251
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Construction	2001	262878
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Manufacturing	2001	2367658
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Wholesale trade	2001	219481
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Retail trade	2001	287863
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Transportation and warehousing	2001	105153
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Information	2001	163714
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Real estate and rental and leasing	2001	416379
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Professional and business services	2001	238456
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Management of companies and enterprises	2001	37415
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2001	87006
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Educational services	2001	14166
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Health care and social assistance	2001	165356
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Arts, entertainment, and recreation	2001	126644
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	   Accommodation and food services	2001	94915
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	  Other services (except government and government enterprises)	2001	93283
37025	FIPS_37025	Cabarrus County	Southwest	Centralina	Government and government enterprises	2001	507140
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Agriculture, forestry, fishing and hunting	2001	28139
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Mining, quarrying, and oil and gas extraction	2001	2340
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Utilities	2001	11463
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Construction	2001	77910
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Manufacturing	2001	683662
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Wholesale trade	2001	164866
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Retail trade	2001	112172
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Transportation and warehousing	2001	78131
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Information	2001	16291
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Real estate and rental and leasing	2001	158848
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Professional and business services	2001	101375
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Management of companies and enterprises	2001	
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Administrative and support and waste management and remediation services	2001	20898
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Educational services	2001	2266
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Health care and social assistance	2001	106320
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Arts, entertainment, and recreation	2001	4550
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	   Accommodation and food services	2001	27106
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	  Other services (except government and government enterprises)	2001	55419
37027	FIPS_37027	Caldwell County	Northwest	Western Piedmont	Government and government enterprises	2001	176117
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Agriculture, forestry, fishing and hunting	2001	9441
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Mining, quarrying, and oil and gas extraction	2001	0
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Utilities	2001	216
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Construction	2001	5277
